adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,,,SLC4A5,,,CT47A4,TOB2,,,,,,,ATP6V1G2,,,,,,,,PI4KA,,,,TSPY10,,,,,LYZL6,,,,,,,,,,,,C4orf47,,,,CFHR1,GPX1,TUBGCP5,,,,ABCF2-H2BK1,,,,,
,,,,UROS,,,YY2,UTY,,,,,,,DDX47,,,,,,,,IGKV1-33,,,,UBE2L5,,,,,ENSG00000275740,,,,,,,,,,,,PSENEN,,,,IGKV3-15,TSPY4,PRSS2,,,,ENSG00000285304,,,,,
,,,,KRTAP24-1,,,STMND1,NPIPA9,,,,,,,KLRK1,,,,,,,,AMACR,,,,CT47B1,,,,,ENSG00000275778,,,,,,,,,,,,FABP9,,,,APOBEC3C,RPS28,UHRF1,,,,ENSG00000285330,,,,,
,,,,ZDHHC9,,,CFAP97D1,TTC32,,,,,,,EMP2,,,,,,,,TCP10L,,,,ZNF853,,,,,RIMBP3,,,,,,,,,,,,ZBTB10,,,,IGKV1-27,UQCRHL,ORAI1,,,,ENSG00000285547,,,,,
,,,,DUSP29,,,IGKV1OR2-108,DNAH2,,,,,,,LTB4R,,,,,,,,ARFGAP3,,,,CDKN2AIPNL,,,,,TUBGCP5,,,,,,,,,,,,C4orf46,,,,ASPRV1,IGKV3OR2-268,ENSG00000276345,,,,DERPC,,,,,
,,,,VWC2,,,HLA-DPA1,PRKX,,,,,,,DNASE1,,,,,,,,PEG10,,,,CKMT1B,,,,,PRSS2,,,,,,,,,,,,PSMB10,,,,C4A,PAGE2,H2AC14,,,,DUS4L-BCAP29,,,,,
,,,,RBM34,,,RPS18,KCNH8,,,,,,,CCL27,,,,,,,,CT47A2,,,,PATE4,,,,,UHRF1,,,,,,,,,,,,SPDYE2,,,,HBB,KBTBD13,CCL14,,,,C8orf44-SGK3,,,,,
,,,,NOXA1,,,CYP21A2,SMTN,,,,,,,HBE1,,,,,,,,IGKV1-39,,,,RGL2,,,,,ORAI1,,,,,,,,,,,,PDE7A,,,,CEBPA,ZNF736,IGKV1D-13,,,,ENSG00000288796,,,,,
,,,,TMEM198,,,PSG1,NPW,,,,,,,HBG1,,,,,,,,RBMY1E,,,,KIFC1,,,,,H4C9,,,,,,,,,,,,MUC12,,,,TWF2,HLA-B,DACH1,,,,H2AC18,,,,,
,,,,BCL2L15,,,TAPBP,PP2D1,,,,,,,ITGA1,,,,,,,,MRPL20,,,,GAGE12C,,,,,PIK3R6,,,,,,,,,,,,MGAT4D,,,,MARS2,APOC2,H2AC16,,,,H2AC19,,,,,
,,,,OPTC,,,TMEM253,PTP4A2,,,,,,,TAX1BP3,,,,,,,,ARPIN,,,,AMY1A,,,,,CCL14,,,,,,,,,,,,SNX2,,,,INSL3,C19orf81,SRCIN1,,,,ARHGAP11A-SCG5,,,,,
,,,,ADRB3,,,HLA-DQB2,TMPRSS2,,,,,,,AP1G2,,,,,,,,SERPINB10,,,,CT47A5,,,,,IGKV1D-13,,,,,,,,,,,,NT5M,,,,ADH1C,ANKRD65,GPIHBP1,,,,ENSG00000290147,,,,,
,,,,SKOR1,,,TNF,DENND5A,,,,,,,NAXD,,,,,,,,HLA-DMB,,,,TSPY9,,,,,DACH1,,,,,,,,,,,,ADGRG1,,,,POU5F2,C12orf75,ENSG00000277535,,,,HOMEZ,,,,,
,,,,CATSPER4,,,PET117,CTAG1B,,,,,,,MEF2B,,,,,,,,IGKV1D-43,,,,LRRC37A2,,,,,H4C5,,,,,,,,,,,,PRR13,,,,ABHD14A,SMIM1,NEFL,,,,SOD2,,,,,
,,,,ZNF548,,,LYRM9,DIABLO,,,,,,,MRPL23,,,,,,,,CNTF,,,,PAGE2B,,,,,TYW1B,,,,,,,,,,,,TECPR1,,,,RBM14-RBM4,PPP1R3E,CISD3,,,,ENSG00000291316,,,,,
,,,,TMEM201,,,PHGR1,VPS33B,,,,,,,SMIM7,,,,,,,,IGKV1D-17,,,,TXNDC5,,,,,H4C4,,,,,,,,,,,,SLCO6A1,,,,FMN1,RPEL1,RDM1,,,,,,,,,
,,,,NHLRC3,,,GPX1,FAM120C,,,,,,,CPNE1,,,,,,,,AP5Z1,,,,CASTOR1,,,,,SRCIN1,,,,,,,,,,,,MT1A,,,,ATP5MF-PTCD1,NFAM1,CT45A8,,,,,,,,,
,,,,HMX2,,,TSPY4,CLDN5,,,,,,,ARL16,,,,,,,,STRC,,,,RNF103,,,,,GPIHBP1,,,,,,,,,,,,INSYN1,,,,HAUS5,KIAA0040,ZNF8,,,,,,,,,
,,,,SNTN,,,RPS28,NIPSNAP1,,,,,,,MAGEB1,,,,,,,,RBMY1B,,,,RBM14,,,,,ENSG00000277535,,,,,,,,,,,,CFI,,,,EPPIN-WFDC6,B3GALT4,SSTR3,,,,,,,,,
,,,,CNR2,,,CTXN2,CNTN2,,,,,,,LYRM4,,,,,,,,EIF4EBP3,,,,KLHL41,,,,,NEFL,,,,,,,,,,,,KRT6A,,,,TMEM150C,LCE6A,CT45A6,,,,,,,,,
,,,,ENTPD8,,,UQCRHL,SPRR4,,,,,,,TMEM213,,,,,,,,IGKV3-7,,,,STPG4,,,,,SYT15B,,,,,,,,,,,,CNEP1R1,,,,SPATS1,CT47A3,TBC1D3C,,,,,,,,,
,,,,RPL14,,,IGKV3OR2-268,LRRC51,,,,,,,ALG3,,,,,,,,PSG11,,,,TNFSF12,,,,,PSMB3,,,,,,,,,,,,KRT81,,,,HS3ST5,CLEC2L,GGNBP2,,,,,,,,,
,,,,TMC3,,,PAGE2,NR2C2AP,,,,,,,C17orf67,,,,,,,,PSG4,,,,CDRT4,,,,,RDM1,,,,,,,,,,,,SPDYE18,,,,TMEM158,ZBED5,H2AC4,,,,,,,,,
,,,,MSL1,,,ZNF879,C1QTNF12,,,,,,,FIS1,,,,,,,,MRPL33,,,,APOBEC3G,,,,,CT45A8,,,,,,,,,,,,TMSB4X,,,,IGKV1D-37,GAGE12F,DHRS11,,,,,,,,,
,,,,LRRK2,,,RBMY1A1,CRELD2,,,,,,,SCART1,,,,,,,,MICAL3,,,,WBP1,,,,,ZNF8,,,,,,,,,,,,CPT1B,,,,YJEFN3,CT47A1,TBC1D3E,,,,,,,,,
,,,,TRMT2B,,,KBTBD13,SCFD2,,,,,,,SPDYE3,,,,,,,,IGKV1-12,,,,MRPS17,,,,,SSTR3,,,,,,,,,,,,HMGN1,,,,TRMT9B,TSPY10,MRM1,,,,,,,,,
,,,,HACD4,,,ZNF736,UBE2F,,,,,,,VSTM5,,,,,,,,EFNA4,,,,IGKV1D-8,,,,,CT45A6,,,,,,,,,,,,LCMT1,,,,SMIM20,UBE2L5,ENSG00000278646,,,,,,,,,
,,,,CFAP126,,,HLA-B,KCNJ12,,,,,,,BBIP1,,,,,,,,C4orf48,,,,DEFA3,,,,,TBC1D3C,,,,,,,,,,,,MFSD2B,,,,KIAA1210,CT47B1,H2AC17,,,,,,,,,
,,,,FAM120AOS,,,APOC2,TSPYL2,,,,,,,GNAT3,,,,,,,,IGKV1-5,,,,IGKV1-6,,,,,GGNBP2,,,,,,,,,,,,HTN3,,,,ENSG00000250424,ZNF853,IGKV1D-12,,,,,,,,,
,,,,C9orf152,,,C19orf81,IRAK1,,,,,,,AS3MT,,,,,,,,AMY2A,,,,GET4,,,,,DHRS11,,,,,,,,,,,,DPF3,,,,CHCHD10,B3GNT9,PAGR1,,,,,,,,,
,,,,NOC2L,,,ANKRD65,CMSS1,,,,,,,SPINK13,,,,,,,,UPK3B,,,,IGKV1-37,,,,,TBC1D3E,,,,,,,,,,,,ETFRF1,,,,GPR162,CKMT1B,IGHV5-10-1,,,,,,,,,
,,,,KCTD21,,,C12orf75,ACOT1,,,,,,,PPME1,,,,,,,,IL10RB,,,,C1orf226,,,,,MRM1,,,,,,,,,,,,ITSN1,,,,ATP6V1E2,PATE4,ZNF511-PRAP1,,,,,,,,,
,,,,SBSN,,,SMIM1,OAF,,,,,,,KRTAP2-2,,,,,,,,CFB,,,,IGKV3-20,,,,,ENSG00000278646,,,,,,,,,,,,DENND1C,,,,ENSG00000250644,RGL2,EXOC3L2,,,,,,,,,
,,,,ADAT2,,,HGH1,ALDH1A3,,,,,,,ZNF727,,,,,,,,DNAAF10,,,,LILRA4,,,,,H4C2,,,,,,,,,,,,GAGE1,,,,PRODH2,KIFC1,PRSS50,,,,,,,,,
,,,,NDUFA4,,,PPP1R3E,H2AC20,,,,,,,ZSWIM8,,,,,,,,LEFTY1,,,,IGKV1D-33,,,,,IGKV1D-12,,,,,,,,,,,,KLRC3,,,,ZNF674,C2orf74,TPTEP2-CSNK1E,,,,,,,,,
,,,,ALKBH2,,,RPEL1,H2AC21,,,,,,,ARHGEF33,,,,,,,,CFAP57,,,,TEX35,,,,,IGHV5-10-1,,,,,,,,,,,,TTC23L,,,,SHANK3,GAGE12C,ENSG00000284057,,,,,,,,,
,,,,CGB5,,,KIAA0040,POU6F1,,,,,,,IFRD2,,,,,,,,TTC4,,,,AMY2B,,,,,ZNF511-PRAP1,,,,,,,,,,,,C22orf42,,,,ZNF550,AMY1A,SCO2,,,,,,,,,
,,,,FAM111B,,,B3GALT4,TM2D3,,,,,,,TOMM6,,,,,,,,JMJD7,,,,LY6G5B,,,,,EXOC3L2,,,,,,,,,,,,DEFB136,,,,ENSG00000251537,CT47A5,C2orf81,,,,,,,,,
,,,,APOD,,,LCE6A,TSSC4,,,,,,,HNRNPUL2,,,,,,,,GSTA1,,,,PSMB9,,,,,PRSS50,,,,,,,,,,,,DAZ4,,,,IGKV1D-39,TSPY9,TMEM247,,,,,,,,,
,,,,GAGE2A,,,CT47A3,TACSTD2,,,,,,,CSKMT,,,,,,,,RTL9,,,,COX19,,,,,TPTEP2-CSNK1E,,,,,,,,,,,,CEMP1,,,,PCDHA12,LRRC37A2,ENSG00000284762,,,,,,,,,
,,,,BLOC1S3,,,CLEC2L,SIX6,,,,,,,MS4A18,,,,,,,,ACY1,,,,DEFA1B,,,,,ENSG00000284057,,,,,,,,,,,,OLIG2,,,,PTX4,PAGE2B,ENSG00000284776,,,,,,,,,
,,,,PLAC9,,,ZBED5,PRKD1,,,,,,,FER1L6,,,,,,,,DDOST,,,,ACAD11,,,,,SCO2,,,,,,,,,,,,C21orf62,,,,RGS21,CASTOR1,CCDC39,,,,,,,,,
,,,,FSCB,,,GAGE12F,CCSER1,,,,,,,RTL10,,,,,,,,TMEM199,,,,IGKV1-17,,,,,C2orf81,,,,,,,,,,,,RNPS1,,,,PCDHGA12,KLHL41,LRTOMT,,,,,,,,,
,,,,CLDN4,,,CT47A1,MROH7,,,,,,,TCP11X2,,,,,,,,GSTA2,,,,AQP1,,,,,TMEM247,,,,,,,,,,,,DAZ2,,,,C8orf88,STPG4,ENSG00000284931,,,,,,,,,
,,,,ZNF573,,,TSPY10,S100A7A,,,,,,,NEURL4,,,,,,,,GMCL2,,,,IGKV1-8,,,,,ENSG00000284762,,,,,,,,,,,,DNAJC19,,,,SHLD3,TNFSF12,ENSG00000284969,,,,,,,,,
,,,,FAM47E,,,UBE2L5,SLIT3,,,,,,,ZNG1F,,,,,,,,ENSG00000244255,,,,PNMA2,,,,,TBCE,,,,,,,,,,,,SMIM21,,,,HOXA10,CDRT4,UPK3BL2,,,,,,,,,
,,,,ZNF33A,,,CT47B1,EFNA5,,,,,,,MUC5AC,,,,,,,,DBNDD2,,,,LRRD1,,,,,ENSG00000284776,,,,,,,,,,,,DEFA1,,,,SMIM18,APOBEC3G,ENSG00000285130,,,,,,,,,
,,,,KRT77,,,ZNF853,H1-5,,,,,,,GOLGA6B,,,,,,,,RBMY1D,,,,PCDHGC5,,,,,CCDC39,,,,,,,,,,,,DOK6,,,,PCDHGA5,WBP1,ENSG00000285245,,,,,,,,,
,,,,PCDH18,,,CDKN2AIPNL,SPATA32,,,,,,,FAM166B,,,,,,,,CFHR1,,,,ARHGEF25,,,,,ENSG00000284931,,,,,,,,,,,,JPT2,,,,PCDHGA6,MRPS17,ENSG00000285283,,,,,,,,,
,,,,BTBD8,,,PATE4,ACTRT3,,,,,,,PEX26,,,,,,,,IGKV3-15,,,,PEDS1,,,,,UPK3BL2,,,,,,,,,,,,SERPINB4,,,,UTP14C,IGKV1D-8,ABCF2-H2BK1,,,,,,,,,
,,,,MAOA,,,KIFC1,PLA2G6,,,,,,,C5orf49,,,,,,,,APOBEC3C,,,,IGKV1-16,,,,,ENSG00000285245,,,,,,,,,,,,SERPINB5,,,,PCDHGA10,DEFA3,ENSG00000285330,,,,,,,,,
,,,,TSPYL1,,,GAGE12C,MAML2,,,,,,,FASTKD5,,,,,,,,IGKV1-27,,,,NSUN6,,,,,ENSG00000285283,,,,,,,,,,,,ZDHHC11B,,,,PCDHGA11,IGKV1-6,TBCEL-TECTA,,,,,,,,,
,,,,TRIM64B,,,AMY1A,PABPC1L2B,,,,,,,GOLGA8B,,,,,,,,RAD21L1,,,,HLA-DOB,,,,,ABCF2-H2BK1,,,,,,,,,,,,KRTAP27-1,,,,LYN,GET4,ENSG00000286098,,,,,,,,,
,,,,ZKSCAN3,,,CT47A5,SS18L1,,,,,,,GAGE12G,,,,,,,,ASPRV1,,,,IGKV1D-16,,,,,ENSG00000285330,,,,,,,,,,,,HBA1,,,,PCDHGB7,IGKV1-37,C8orf44-SGK3,,,,,,,,,
,,,,RRP7A,,,TSPY9,KCND2,,,,,,,GAGE10,,,,,,,,PTCHD4,,,,RPL36A,,,,,ENSG00000286098,,,,,,,,,,,,ELOA2,,,,NPIPB11,C1orf226,CTAGE4,,,,,,,,,
,,,,LIN54,,,LRRC37A2,TOP1MT,,,,,,,NPEPL1,,,,,,,,C4A,,,,IGKV3-11,,,,,DUS4L-BCAP29,,,,,,,,,,,,HACD2,,,,LRRC24,IGKV3-20,ENSG00000288796,,,,,,,,,
,,,,FAM180A,,,PAGE2B,COPB2,,,,,,,RSC1A1,,,,,,,,HBB,,,,PDXP,,,,,C8orf44-SGK3,,,,,,,,,,,,CFAP44,,,,SIGLEC14,LILRA4,H2AC18,,,,,,,,,
,,,,KAZN,,,TXNDC5,THAP7,,,,,,,TMEM242,,,,,,,,CRYBB2,,,,EGFL8,,,,,PRRC2B,,,,,,,,,,,,VGLL3,,,,AP5B1,IGKV1D-33,H2AC19,,,,,,,,,
,,,,SLC35E2B,,,RNF103,KNTC1,,,,,,,TSTD1,,,,,,,,CEBPA,,,,SSX2,,,,,CTAGE4,,,,,,,,,,,,ENSG00000206549,,,,CHMP4A,TEX35,ARHGAP11A-SCG5,,,,,,,,,
,,,,GSPT2,,,KLHL41,CCR10,,,,,,,RPTN,,,,,,,,TWF2,,,,ARHGAP8,,,,,ENSG00000288796,,,,,,,,,,,,GPX3,,,,ARMS2,AMY2B,ENSG00000289258,,,,,,,,,
,,,,C8orf76,,,STPG4,WDR27,,,,,,,CYB5RL,,,,,,,,MARS2,,,,IGKV1-9,,,,,ARHGAP11A-SCG5,,,,,,,,,,,,STK38L,,,,INS,LY6G5B,ENSG00000289697,,,,,,,,,
,,,,OTUD6A,,,TNFSF12,TXNRD2,,,,,,,C1orf167,,,,,,,,USP51,,,,PLEKHO2,,,,,ENSG00000289258,,,,,,,,,,,,TSN,,,,RTL1,PSMB9,ENSG00000290147,,,,,,,,,
,,,,GJB4,,,CDRT4,FOXO4,,,,,,,IFI30,,,,,,,,INSL3,,,,C8orf58,,,,,ENSG00000289694,,,,,,,,,,,,SLC48A1,,,,EEF1G,COX19,HOMEZ,,,,,,,,,
,,,,IL1RAP,,,APOBEC3G,TMEM255B,,,,,,,GAGE12E,,,,,,,,ADH1C,,,,PI4KA,,,,,ENSG00000289697,,,,,,,,,,,,IGKC,,,,CKLF-CMTM1,DEFA1B,ENSG00000291316,,,,,,,,,
,,,,PTPRT,,,WBP1,PROS1,,,,,,,TENM3,,,,,,,,POU5F2,,,,IGKV1-33,,,,,ENSG00000290147,,,,,,,,,,,,IGKV3D-20,,,,NPIPA2,ACAD11,,,,,,,,,,
,,,,MYBPC1,,,MRPS17,GAST,,,,,,,CEBPZOS,,,,,,,,PCP4L1,,,,AMACR,,,,,HOMEZ,,,,,,,,,,,,IGKV3D-11,,,,ENSG00000254979,IGKV1-17,,,,,,,,,,
,,,,PAX5,,,IGKV1D-8,NUTM1,,,,,,,CELA3B,,,,,,,,RBM14-RBM4,,,,TCP10L,,,,,ENSG00000291316,,,,,,,,,,,,IGKV1D-42,,,,CHMP1B,AQP1,,,,,,,,,,
,,,,TDRD7,,,DEFA3,BEX5,,,,,,,RNASEK,,,,,,,,FMN1,,,,ARFGAP3,,,,,,,,,,,,,,,,,IGLV6-57,,,,EID3,IGKV1-8,,,,,,,,,,
,,,,CFAP119,,,IGKV1-6,CEND1,,,,,,,TAFA5,,,,,,,,ATP5MF-PTCD1,,,,PEG10,,,,,,,,,,,,,,,,,IGLV7-46,,,,HTD2,ISY1,,,,,,,,,,
,,,,MATCAP1,,,IGKV1-37,C6orf58,,,,,,,NBPF1,,,,,,,,HAUS5,,,,CT47A2,,,,,,,,,,,,,,,,,IGLV7-43,,,,FXYD6-FXYD2,PNMA2,,,,,,,,,,
,,,,HLA-DRB1,,,IGKV3-20,DUSP8,,,,,,,UMAD1,,,,,,,,EPPIN-WFDC6,,,,IGKV1-39,,,,,,,,,,,,,,,,,IGLV3-25,,,,EID1,LRRD1,,,,,,,,,,
,,,,MYT1,,,LILRA4,SOCS3,,,,,,,FAM228B,,,,,,,,TMEM150C,,,,RBMY1E,,,,,,,,,,,,,,,,,IGLV3-10,,,,HCAR3,PCDHGC5,,,,,,,,,,
,,,,SERPINA3,,,IGKV1D-33,SLITRK6,,,,,,,LINGO3,,,,,,,,NAIP,,,,MRPL20,,,,,,,,,,,,,,,,,IGLV3-9,,,,ENSG00000255439,ARHGEF25,,,,,,,,,,
,,,,AKR1C3,,,TEX35,STING1,,,,,,,PPP3R1,,,,,,,,SPATS1,,,,SERPINB10,,,,,,,,,,,,,,,,,IGLV3-1,,,,CARD18,PEDS1,,,,,,,,,,
,,,,SPATS2L,,,AMY2B,PDE4B,,,,,,,PSG3,,,,,,,,ENSG00000249624,,,,HLA-DMB,,,,,,,,,,,,,,,,,IGLC3,,,,CYP2A6,RDH14,,,,,,,,,,
,,,,ZNF79,,,LY6G5B,TAFA3,,,,,,,AP4M1,,,,,,,,HS3ST5,,,,IGKV1D-43,,,,,,,,,,,,,,,,,IGHA2,,,,CTSO,IGKV1-16,,,,,,,,,,
,,,,S100A4,,,PSMB9,SPDYE12,,,,,,,PLXNA4,,,,,,,,TMEM158,,,,CNTF,,,,,,,,,,,,,,,,,IGHG4,,,,ZNF432,NSUN6,,,,,,,,,,
,,,,KIF19,,,COX19,KRBA2,,,,,,,PSG7,,,,,,,,IGKV1D-37,,,,RTL5,,,,,,,,,,,,,,,,,IGHG2,,,,HMBS,HLA-DOB,,,,,,,,,,
,,,,ACADSB,,,DEFA1B,SEPTIN9,,,,,,,ZBED8,,,,,,,,YJEFN3,,,,IGKV1D-17,,,,,,,,,,,,,,,,,IGHA1,,,,ASIC5,IGKV1D-16,,,,,,,,,,
,,,,STK40,,,ACAD11,ODF4,,,,,,,NPTXR,,,,,,,,ENSG00000250264,,,,STRC,,,,,,,,,,,,,,,,,IGHG1,,,,POLG2,RPL36A,,,,,,,,,,
,,,,CTSE,,,PPIL3,CDCA2,,,,,,,POM121L12,,,,,,,,TRMT9B,,,,RBMY1B,,,,,,,,,,,,,,,,,IGHD,,,,ENSG00000256591,IGKV3-11,,,,,,,,,,
,,,,SEMA4A,,,IGKV1-17,RALYL,,,,,,,PPP2R2A,,,,,,,,SMIM20,,,,IGKV3-7,,,,,,,,,,,,,,,,,IGHM,,,,PGA5,PDXP,,,,,,,,,,
,,,,GREB1,,,AQP1,AMER1,,,,,,,C19orf73,,,,,,,,KIAA1210,,,,PSG11,,,,,,,,,,,,,,,,,IGHV5-51,,,,CAPNS2,ATP5MF,,,,,,,,,,
,,,,RYR1,,,IGKV1-8,H2BC21,,,,,,,TRIM16,,,,,,,,ENSG00000250424,,,,PSG4,,,,,,,,,,,,,,,,,TSSK1B,,,,HP,SSX2,,,,,,,,,,
,,,,SRGAP3,,,PNMA2,SEPTIN5,,,,,,,HEPN1,,,,,,,,CHCHD10,,,,MICAL3,,,,,,,,,,,,,,,,,PRR22,,,,TAS2R38,ARHGAP8,,,,,,,,,,
,,,,FAM217B,,,LRRD1,LRRC26,,,,,,,TIGD1,,,,,,,,CDK3,,,,STON1,,,,,,,,,,,,,,,,,KRTAP16-1,,,,MGAM,ARPC1A,,,,,,,,,,
,,,,TUBB,,,PCDHGC5,APOBR,,,,,,,FXYD7,,,,,,,,GPR162,,,,IGKV1-12,,,,,,,,,,,,,,,,,KRTAP2-3,,,,FNTB,IGKV1-9,,,,,,,,,,
,,,,XPNPEP3,,,ARHGEF25,FAM110C,,,,,,,XKR9,,,,,,,,ATP6V1E2,,,,EFNA4,,,,,,,,,,,,,,,,,KRTAP2-1,,,,MGAM2,ATP5PO,,,,,,,,,,
,,,,PPIA,,,PEDS1,UBE2G2,,,,,,,SLC12A8,,,,,,,,PRODH2,,,,C4orf48,,,,,,,,,,,,,,,,,KRTAP3-3,,,,PDF,PLEKHO2,,,,,,,,,,
,,,,SUPT3H,,,IGKV1-16,TRARG1,,,,,,,APOL6,,,,,,,,ZNF345,,,,IGKV1-5,,,,,,,,,,,,,,,,,KRTAP3-2,,,,SPESP1,C8orf58,,,,,,,,,,
,,,,NIF3L1,,,MIF,APOO,,,,,,,FADS3,,,,,,,,SHANK3,,,,NAA80,,,,,,,,,,,,,,,,,KLK9,,,,SYNJ2BP-COX16,PISD,,,,,,,,,,
,,,,ATP2A1,,,NSUN6,PRR16,,,,,,,BTBD19,,,,,,,,ZNF550,,,,AMY2A,,,,,,,,,,,,,,,,,CGB8,,,,PINX1,HOGA1,,,,,,,,,,
,,,,IARS1,,,HLA-DOB,TMED9,,,,,,,C21orf140,,,,,,,,ENSG00000251537,,,,TNFRSF6B,,,,,,,,,,,,,,,,,SFT2D2,,,,TUBB3,IGKV1-33,,,,,,,,,,
,,,,STK31,,,IGKV1D-16,RBM33,,,,,,,PSMB11,,,,,,,,IGKV1D-39,,,,UPK3B,,,,,,,,,,,,,,,,,CEP43,,,,TSPY1,AMACR,,,,,,,,,,
,,,,CGB7,,,RPL36A,ARMCX2,,,,,,,USP17L2,,,,,,,,PCDHA12,,,,IL10RB,,,,,,,,,,,,,,,,,CFAP45,,,,NDUFC2-KCTD14,TCP10L,,,,,,,,,,
,,,,NLGN3,,,IGKV3-11,BTBD6,,,,,,,VPS52,,,,,,,,PTX4,,,,CFB,,,,,,,,,,,,,,,,,ACKR1,,,,SMIM6,ARFGAP3,,,,,,,,,,
,,,,ADH7,,,PDXP,H1-10,,,,,,,ZNF844,,,,,,,,RGS21,,,,DNAAF10,,,,,,,,,,,,,,,,,CRYGS,,,,ENSG00000259132,PEG10,,,,,,,,,,
,,,,ZKSCAN7,,,EGFL8,IMMP2L,,,,,,,CKMT1A,,,,,,,,C8orf88,,,,LEFTY1,,,,,,,,,,,,,,,,,FAM24B,,,,ITGB3,CT47A2,,,,,,,,,,
,,,,CD55,,,SSX2,CLCNKB,,,,,,,HBD,,,,,,,,SHLD3,,,,CFAP57,,,,,,,,,,,,,,,,,MLLT11,,,,ZHX1-C8orf76,IGKV1-39,,,,,,,,,,
,,,,CPNE4,,,IGKV1-9,JAG2,,,,,,,CERS1,,,,,,,,CCDC71L,,,,TTC4,,,,,,,,,,,,,,,,,ASIC3,,,,GH1,SERPINB10,,,,,,,,,,
,,,,NTNG2,,,PLEKHO2,FMNL1,,,,,,,IGKV3D-15,,,,,,,,HOXA10,,,,GSTA1,,,,,,,,,,,,,,,,,GIMAP1,,,,RBM15B,HLA-DMB,,,,,,,,,,
,,,,ELAVL3,,,HOGA1,PTRHD1,,,,,,,CPTP,,,,,,,,C1orf210,,,,RTL9,,,,,,,,,,,,,,,,,ARHGEF35,,,,TGFBR3L,IGKV1D-43,,,,,,,,,,
,,,,LONP1,,,PI4KA,WT1,,,,,,,CT47A10,,,,,,,,SMIM18,,,,NFS1,,,,,,,,,,,,,,,,,CSH2,,,,SPDYE6,CNTF,,,,,,,,,,
,,,,FUT4,,,IGKV1-33,AQP12A,,,,,,,C4B,,,,,,,,ALG11,,,,DDOST,,,,,,,,,,,,,,,,,NRAS,,,,ENSG00000260170,RTL5,,,,,,,,,,
,,,,ASB13,,,AMACR,MUC6,,,,,,,SMIM13,,,,,,,,UTP14C,,,,TMEM199,,,,,,,,,,,,,,,,,ANKRD39,,,,FRRS1L,IGKV1D-17,,,,,,,,,,
,,,,SLC35F1,,,TCP10L,USP18,,,,,,,GAGE12J,,,,,,,,PCDHGA10,,,,GSTA2,,,,,,,,,,,,,,,,,QTRT1,,,,TBC1D3G,AP5Z1,,,,,,,,,,
,,,,ZNF140,,,ARFGAP3,BRI3BP,,,,,,,NDUFAF8,,,,,,,,ZNF260,,,,P2RY11,,,,,,,,,,,,,,,,,GSTM2,,,,MRC1,STRC,,,,,,,,,,
,,,,PTPN1,,,PEG10,DGAT1,,,,,,,GAGE12H,,,,,,,,LYN,,,,TMEM141,,,,,,,,,,,,,,,,,COG8,,,,C16orf95,EIF4EBP3,,,,,,,,,,
,,,,EVL,,,CT47A2,RFX6,,,,,,,APOC4-APOC2,,,,,,,,LRRC24,,,,DBNDD2,,,,,,,,,,,,,,,,,ARHGAP19,,,,ENSG00000260537,IGKV3-7,,,,,,,,,,
,,,,SPANXD,,,IGKV1-39,ROBO2,,,,,,,PLEKHM1,,,,,,,,SIGLEC14,,,,RBMY1D,,,,,,,,,,,,,,,,,PTPRCAP,,,,ENSG00000260643,PSG11,,,,,,,,,,
,,,,NOXO1,,,EIF6,AP3M1,,,,,,,MKRN2OS,,,,,,,,AP5B1,,,,ETV5,,,,,,,,,,,,,,,,,PVRIG,,,,CCPG1,PSG4,,,,,,,,,,
,,,,PRTN3,,,RBMY1E,F8,,,,,,,MCRIP1,,,,,,,,CHMP4A,,,,CFHR1,,,,,,,,,,,,,,,,,KRTAP2-4,,,,TMEM178B,MRPL33,,,,,,,,,,
,,,,PPP1R26,,,ARPIN,CA13,,,,,,,SLC26A6,,,,,,,,ARMS2,,,,IGKV3-15,,,,,,,,,,,,,,,,,KRT222,,,,EPPK1,MICAL3,,,,,,,,,,
,,,,NBPF4,,,SERPINB10,UBOX5,,,,,,,NOL7,,,,,,,,INS,,,,RBM12,,,,,,,,,,,,,,,,,SIPA1,,,,ZNF865,IGKV1-12,,,,,,,,,,
,,,,TSC22D2,,,HLA-DMB,MAFF,,,,,,,CT47A6,,,,,,,,RTL1,,,,APOBEC3C,,,,,,,,,,,,,,,,,ERV3-1,,,,BOP1,EFNA4,,,,,,,,,,
,,,,CRYBA4,,,IGKV1D-43,BRF1,,,,,,,TEX22,,,,,,,,EEF1G,,,,IGKV1-27,,,,,,,,,,,,,,,,,SYNJ2BP,,,,PECAM1,C4orf48,,,,,,,,,,
