adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,IQCK,,NPLOC4,CYB5RL,,,BOLA1,NLGN4Y,SPDYC,,CDCP1,,SRSF8,,CASP4,IGHG1,,,,HNRNPUL2,,,,,,FGB,,,ANKFY1,,,,,UBE2E2,,,AMER1,,ARHGAP19,,,,,,UCP2,,NDUFC2-KCTD14,,,,,MARS2,FMC1-LUC7L2,MRNIP,,,NFU1,RBM15B,
,,ZNF266,,TSHZ2,IFI30,,,DDX10,HDX,DCTN1,,FYCO1,,NBPF11,,AP2A1,MAP10,,,,CSKMT,,,,,,PLRG1,,,IFIT1,,,,,NLRP10,,,H2BC21,,SYNJ2BP,,,,,,RAB6A,,ZHX1-C8orf76,,,,,ADH1C,NBPF8,RPL8,,,C15orf40,CCPG1,
,,SLC29A2,,EXOC7,RNASEK,,,DALRD3,NDUFB6,MZT1,,DTX3L,,GJA5,,FUT11,ZNF580,,,,NPIPA8,,,,,,NMUR1,,,CXorf38,,,,,FIGN,,,NDUFA12,,STIMATE,,,,,,ERCC4,,THTPA,,,,,ABHD14A,H4C15,MAML1,,,BOLA2B,EPPK1,
,,B4GAT1,,GLRX5,PPP3R1,,,ZNF518B,NOL6,SPIRE2,,ZNF148,,RNF115,,ANXA4,DENND1B,,,,NPIPA7,,,,,,CLSTN1,,,NLRP9,,,,,AP1S2,,,UBE2G2,,DNAJC9,,,,,,CCDC85B,,HOXB7,,,,,FMN1,RPS10-NUDT3,PGLYRP2,,,HIC2,ZNF865,
,,SH3PXD2B,,LIMK2,FANCG,,,ZNF366,VCP,PKHD1L1,,NMNAT3,,CFAP298-TCP10L,,LAGE3,MLLT11,,,,PHB2,,,,,,ZNF274,,,DMWD,,,,,C8orf33,,,TRARG1,,C8orf82,,,,,,TMEM70,,ENSG00000260170,,,,,ATP5MF-PTCD1,H4C14,LRWD1,,,LUZP1,PIERCE2,
,,RESF1,,ADI1,ZBED8,,,LCORL,STOML2,SLC35B4,,SMIM12,,FSBP,,WDR5B,GIMAP1,,,,NEURL4,,,,,,SLC25A33,,,BCAP31,,,,,PRAMEF8,,,APOO,,VDAC1,,,,,,RPS6KB2,,ENSG00000260537,,,,,ENSG00000249624,CD24,FBXL13,,,LRRC45,ZNF234,
,,PABPC5,,RWDD4,TIGD1,,,RNF212,BRWD3,LGALS7,,ZMYM6,,TXNIP,,NPIPB9,NRAS,,,,PEX26,,,,,,GPR82,,,GNB1L,,,,,YBEY,,,PRR16,,HEXA,,,,,,RMI2,,SULT1A3,,,,,ARPIN-AP3S2,DCP1A,NAPEPLD,,,AGPAT2,IKBKE,
,,BRMS1,,TRAK1,APOL6,,,GALNT11,MELK,CCNI2,,TPRA1,,SRGAP2,,METTL9,CHUK,,,,GOLGA8B,,,,,,GPR34,,,LAMP1,,,,,PLCXD1,,,H1-10,,NDUFS3,,,,,,TOM1L2,,EPPK1,,,,,TRMT9B,ZBTB8B,PSMC2,,,ASPSCR1,RNF115,
,,FAM241A,,GALR2,CCNL2,,,SLITRK1,OTUD1,PSENEN,,SNIP1,,RASSF5,,ZNF470,COG8,,,,ZNF407,,,,,,PLEKHG5,,,POMK,,,,,TRAPPC6B,,,IMMP2L,,ADAT3,,,,,,B3GNTL1,,PIERCE2,,,,,SMIM20,H4C12,DVL3,,,MT1E,CFAP298-TCP10L,
,,SRP72,,CMC4,USP17L2,,,WDR6,ARHGAP12,LGR4,,POLR2H,,NBPF15,,ANXA6,ARHGAP19,,,,NPEPL1,,,,,,ATF7IP,,,SETD4,,,,,NPLOC4,,,JAG2,,PPP1CB,,,,,,MLXIP,,GTF2I,,,,,CDK3,CYFIP1,AP2M1,,,DUS1L,RPL17,
,,RIN1,,ANXA2,HLA-DPB1,,,GEN1,HECTD2,ADGRG1,,KLF15,,NCOA4,,GMFB,PVRIG,,,,RPL17-C18orf32,,,,,,TCEA2,,,PTCH1,,,,,TSHZ2,,,PTRHD1,,SULT1A4,,,,,,AURKAIP1,,ZNF234,,,,,ENSG00000250644,TAF9,PCYT1A,,,DCXR,FSBP,
,,CD248,,PAQR7,NPIPA3,,,TMEM11,FBXO33,IPO7,,TMEM41A,,AARSD1,,ZNF763,ARL2,,,,TSTD1,,,,,,HDAC3,,,BICD2,,,,,EXOC7,,,BRI3BP,,TREX1,,,,,,ZNF169,,NBPF11,,,,,ZNF674,NOL12,FBXO27,,,LDB2,TXNIP,
,,DENND6A,,NGRN,MCRIP1,,,ZNF354B,WRN,SAMD9,,RPN1,,ENSG00000267001,,H4C3,RBMXL1,,,,IFI30,,,,,,TMEM51,,,TMLHE,,,,,KPNA2,,,ROBO2,,DDAH2,,,,,,SFN,,RNF115,,,,,ZNF345,H4C6,BDH1,,,RAC3,SRGAP2,
,,PDE12,,RPS17,SLC26A6,,,ZFAND2A,MARCHF8,EXOC3L4,,SENP2,,ENSG00000267179,,KIAA1671,SRA1,,,,RNASEK,,,,,,CAMTA1,,,RASA3,,,,,CEP97,,,F8,,KCTD11,,,,,,CTDNEP1,,CFAP298-TCP10L,,,,,ZNF550,MLLT6,THAP8,,,LIMS1,BAHCC1,
,,GLMN,,CRIP2,FAM174C,,,PLEKHM3,SUGT1,CCDC85C,,HEYL,,ZNF285,,IGF2R,VDAC1,,,,UMAD1,,,,,,LRRC34,,,LRCH3,,,,,FES,,,CA13,,DNASE1,,,,,,ETV4,,FSBP,,,,,CCDC71L,PPP4R3B,ZNF382,,,TAPT1,RASSF5,
,,RSRC1,,DDX28,ARL17B,,,BEND3,GTF2A1,RGL3,,IFT122,,FDX2,,GAL3ST4,NDUFS3,,,,FANCG,,,,,,SPATA5L1,,,CD300LF,,,,,GLRX5,,,BRF1,,CSNK1E,,,,,,SWI5,,TXNIP,,,,,PCDHGA10,SYNRG,LRRC56,,,HNRNPF,STRADA,
,,RAB1B,,ACBD3,DHFR,,,GLDC,ZCCHC24,SMN2,,RFC4,,ZNF224,,DYNC1H1,PPP1CB,,,,ZBED8,,,,,,BCL2,,,CYP2R1,,,,,FAM104B,,,SEMA4B,,IRF9,,,,,,GAPT,,RASSF5,,,,,PINX1,H4C13,PGAP3,,,CSGALNACT2,NBPF15,
,,PTDSS2,,ALG12,ZNF688,,,DTX3,PGM2L1,EIF3CL,,BAP1,,LIN37,,PCBP2,TREX1,,,,NPIPA3,,,,,,CTPS1,,,C2orf76,,,,,MXRA7,,,CIB1,,ITGA1,,,,,,BAIAP2,,NBPF15,,,,,AP5B1,FCGBP,FDXR,,,PCDH7,ENSG00000267001,
,,MICOS13,,COL18A1,ACBD6,,,KLHL11,PHYHIPL,CRYZL1,,TKT,,FAM156A,,LRRC8B,SLC35F6,,,,PLEKHM1,,,,,,METTL18,,,WWOX,,,,,ADI1,,,HSF1,,TAX1BP3,,,,,,ZDHHC21,,ENSG00000267001,,,,,CHMP4A,HNF1B,SAP30BP,,,ROBO1,ENSG00000267179,
,,C3orf33,,CADM1,STMND1,,,CTXN1,INPPL1,NYNRIN,,RFT1,,ENSG00000268870,,ABCB8,DDAH2,,,,SLC26A6,,,,,,PWWP2B,,,ZNRF1,,,,,TRAK1,,,LRRC37B,,AP1G2,,,,,,PLEKHF2,,ENSG00000267179,,,,,EEF1G,H4C7,ACOX1,,,AVEN,ENSG00000267561,
,,KCTD13,,PYCR1,NPIPB7,,,CA8,CRYL1,JPT2,,GNL3,,IKBKG,,TBC1D9B,RPS29,,,,NOL7,,,,,,FBXL14,,,SAPCD2,,,,,TTC3,,,NOMO2,,TTLL3,,,,,,ORAI3,,FDX2,,,,,BORCS8,ENSG00000275740,CYGB,,,P2RY1,FDX2,
,,P2RY14,,AP2A2,GPX1,,,MAF,HEPACAM,SERPINB5,,UVSSA,,SPIB,,H4C11,KCTD11,,,,DCAF8L1,,,,,,EXOSC10,,,SOWAHB,,,,,GALR2,,,TNFAIP2,,SMIM7,,,,,,KLHL38,,ZNF224,,,,,DPP3,ARHGAP23,SRSF2,,,TRIM56,ZNF224,
,,DHX36,,SLC25A10,RPS28,,,ERN1,MICU2,ELOA2,,TASOR,,FMC1-LUC7L2,,FAM110D,CSNK1E,,,,HSBP1L1,,,,,,ZNF570,,,MRTFB,,,,,CMC4,,,TCEAL9,,CPNE1,,,,,,ASCL3,,LIN37,,,,,ANKHD1-EIF4EBP3,H4C9,ZNF577,,,SYAP1,LIN37,
,,FBXW8,,RGPD6,UQCRHL,,,CSRNP3,PKNOX2,RAB12,,ARHGEF3,,NBPF8,,KANK2,IRF9,,,,FAM174C,,,,,,MLLT3,,,PPP1CC,,,,,ANXA2,,,PRMT3,,LYRM4,,,,,,TUBB6,,ENSG00000268870,,,,,CHMP1B,PIK3R6,KASH5,,,ITGAM,FAM156A,
,,KLC2,,LYSMD4,TRIM26,,,PARP10,LRR1,HACD2,,SLBP,,TAF15,,GTF2E2,GALT,,,,ARL17B,,,,,,TRAPPC12,,,BACE1,,,,,PAQR7,,,PRPF39,,ALG3,,,,,,LYSMD3,,IKBKG,,,,,ENSG00000255439,H4C5,ALDH16A1,,,OTUD3,ENSG00000268870,
,,UBE2C,,GPC6,ZNF879,,,DHFR2,DNAAF2,METTL6,,LRPAP1,,HSPE1-MOB4,,RAD54B,ITGA1,,,,ZNF688,,,,,,MRM3,,,THBS2,,,,,NGRN,,,ZNF74,,VSTM5,,,,,,ZNF613,,FMC1-LUC7L2,,,,,CTSO,TYW1B,LSM12,,,BRD3,IKBKG,
,,GK5,,ARHGEF37,NPIPB2,,,RPP25,ZNF22,SELENOH,,UBXN7,,RPS10-NUDT3,,SYNGAP1,NAXD,,,,STMND1,,,,,,RPS7,,,ANKRD37,,,,,C1orf116,,,CDNF,,BBIP1,,,,,,MBLAC2,,NBPF8,,,,,DNAAF4,H4C4,ASB16,,,ZFPM2,SPIB,
,,TRAF6,,CEP57L1,ANKRD65,,,GRINA,KLHDC2,STK38L,,PIGX,,POM121C,,DDI2,TTLL3,,,,RPS18,,,,,,RNASEH1,,,NUDT17,,,,,CRIP2,,,ZBTB37,,PPME1,,,,,,ZNF683,,TAF15,,,,,ZNF432,MARCKS,EMC10,,,PUSL1,BIVM-ERCC5,
,,ZNF654,,SMDT1,HGH1,,,COX5A,NEMF,MAP10,,MELTF,,DCP1A,,SVIL,REPIN1,,,,TAPBP,,,,,,AQP4,,,CCDC30,,,,,DDX28,,,IL3RA,,ZSWIM8,,,,,,IP6K1,,HSPE1-MOB4,,,,,HMBS,ZNF670,SHANK1,,,SF3B5,H4C15,
,,TVP23C,,CHST6,RPEL1,,,STX19,RPUSD4,ZNF580,,ABLIM2,,ZBTB8B,,TRIM33,MRPL23,,,,NPIPB7,,,,,,CYP4F11,,,FCAR,,,,,ACBD3,,,SOCS1,,IFRD2,,,,,,CSTF3,,RPS10-NUDT3,,,,,POLG2,PSMB3,DBF4B,,,IFFO2,RPS10-NUDT3,
,,MRPS22,,PTTG1IP,NFAM1,,,MPI,NGB,KLK9,,C1orf50,,CYFIP1,,PELI1,LYRM4,,,,GPX1,,,,,,TLN2,,,KPNA4,,,,,HAPSTR1,,,GAS2L1,,TOMM6,,,,,,YES1,,POM121C,,,,,TAS2R38,PRICKLE4,PLCD3,,,CHD3,H4C14,
,,PACS1,,DDX41,ZBED5,,,APOLD1,AMER2,DENND1B,,AIMP1,,NOL12,,ZNF655,SH3D21,,,,RPS28,,,,,,JMJD1C,,,RPS23,,,,,ALG12,,,ATP6V0A2,,HNRNPUL2,,,,,,CHMP6,,DOC2B,,,,,CNPY2,GGNBP2,FMNL3,,,TMEM154,ENSG00000271254,
,,SH3BP5L,,CCDC125,B3GNT9,,,EXOSC4,OTX2,SFT2D2,,SGMS2,,SOCS7,,UAP1L1,NEURL1B,,,,UQCRHL,,,,,,QARS1,,,BTN3A2,,,,,COL18A1,,,PRKN,,CSKMT,,,,,,UFSP1,,DCP1A,,,,,CHURC1,ACACA,AQP5,,,ALCAM,FAM47E-STBD1,
,,YPEL2,,BOLA2,CDKN2AIPNL,,,DPY19L3,DACT1,CRIP1,,METAP1,,RCC1L,,VEPH1,HAUS3,,,,TRIM26,,,,,,SMN1,,,RGS7BP,,,,,RBM10,,,HGS,,FER1L6,,,,,,TMEM39A,,ZBTB8B,,,,,PDF,H4C1,RACGAP1,,,YWHAG,DCP1A,
,,FAM131A,,TEKTIP1,NME1,,,PFAS,ATP5F1C,ARHGEF35,,DNAJB14,,MLLT6,,IPP,SPINK13,,,,ZNF879,,,,,,EIF2AK3,,,ZNF396,,,,,GLUD2,,,MAPK11,,ARHGEF28,,,,,,TCP11L1,,ZNHIT3,,,,,SYNJ2BP-COX16,H4C2,LARP4,,,UBE2E3,H4C12,
,,DCTN2,,CCDC159,CDRT4,,,HYI,PRPF18,CHUK,,H2AZ1,,PPP4R3B,,MAP3K5,STARD10,,,,ZNF736,,,,,,KRCC1,,,ARHGAP30,,,,,SPATA13,,,MRPL30,,PHB2,,,,,,CCDC57,,CYFIP1,,,,,CEP95,PAGR1,TAMALIN,,,CNTROB,CYFIP1,
,,CTDSP2,,NPIPA1,MRPS17,,,CYBC1,VSTM4,COG8,,EMCN,,SYNRG,,PDGFA,ZSWIM8,,,,NPIPB2,,,,,,NME6,,,SEPTIN10,,,,,CNOT10,,,SMYD3,,NEURL4,,,,,,BNIP3,,NOL12,,,,,NDUFC2-KCTD14,IQCJ-SCHIP1,RAVER1,,,TRAPPC1,NOL12,
,,CKAP5,,SF3A3,C1orf226,,,GAK,VDAC2,PVRIG,,BDH2,,NUDT18,,COL13A1,IFRD2,,,,C12orf75,,,,,,CALB2,,,GPATCH8,,,,,CADM1,,,FAM174B,,FASTKD5,,,,,,SMIM19,,RCC1L,,,,,ZHX1-C8orf76,EXOC3L2,SYCE2,,,SIMC1,CASTOR2,
,,MED16,,ASB7,COX19,,,ZBTB7A,COMTD1,ARL2,,ZNF589,,PRAG1,,SLC28A3,TOMM6,,,,HGH1,,,,,,FRMD3,,,NF2,,,,,AP2A2,,,MUC1,,DDX3X,,,,,,RTTN,,H2AC12,,,,,HOXB7,ENSG00000283782,SPC24,,,TMEM192,RCC1L,
,,GOLGA8A,,GPR132,PPIL3,,,TUFM,PDZD8,DNAJC9,,PLXNB1,,HNF1B,,MYO5A,HNRNPUL2,,,,NFAM1,,,,,,CEBPB,,,SMIM29,,,,,SLC8A1,,,FAAP100,,ZNF407,,,,,,ANAPC2,,MLLT6,,,,,ENSG00000260643,TPTEP2-CSNK1E,LEMD2,,,ZNF778,H4C6,
,,CCNE2,,EP400,TNFRSF13B,,,EIF3K,ZNF503,C8orf82,,CCDC51,,ENSG00000275740,,SIPA1L1,NPIPA8,,,,ZBED5,,,,,,C5orf34,,,UBE2H,,,,,ABAT,,,PRKG1,,NPEPL1,,,,,,ZBTB8OS,,PPP4R3B,,,,,PIERCE2,LRTOMT,TNFSF13,,,NIPA1,H2AC12,
,,PHYKPL,,UTP11,ARHGEF25,,,C3orf38,ABRAXAS2,VDAC1,,ATRIP,,ARHGAP23,,TTC30A,ARHGEF28,,,,B3GNT9,,,,,,NEGR1,,,KATNA1,,,,,SLC25A10,,,DLK1,,RPL17-C18orf32,,,,,,ZNF135,,SYNRG,,,,,CORO7,ENSG00000285130,SENP3,,,UBE2E1,MLLT6,
,,ANKS4B,,PSMG1,PEDS1,,,EXOC3L1,QSOX2,NDUFS3,,SHISA5,,TUBGCP5,,PIGN,NPIPA7,,,,CDKN2AIPNL,,,,,,MACROD2,,,ARAP1,,,,,RGPD6,,,MRPL40,,RSC1A1,,,,,,COX8A,,NUDT18,,,,,ZNF234,ENSG00000285245,FGF11,,,RNF150,PPP4R3B,
,,BANF1,,ACSM5,MIF,,,C9orf50,FAM204A,PPP1CB,,SPRY1,,ORAI1,,HOXA4,PHB2,,,,TXNDC5,,,,,,BSG,,,C17orf58,,,,,GPC6,,,PCGF3,,CYB5RL,,,,,,B3GNT4,,H2AC15,,,,,IKBKE,ABCF2-H2BK1,EIF4A1,,,CHRNB1,SYNRG,
,,CHRNA7,,TNFAIP8L3,NSUN6,,,DPM3,NSD1,ATF6B,,APEH,,DACH1,,TOPORS,NEURL4,,,,CASTOR1,,,,,,SPTLC3,,,BCDIN3D,,,,,CEP57L1,,,ZFP36L1,,IFI30,,,,,,CDC26,,PRAG1,,,,,NBPF11,ENSG00000285330,RPL26,,,USP47,NUDT18,
,,TMEM9B,,TANGO2,CRCP,,,CYC1,ENOX2,TREX1,,INTU,,TYW1B,,FAR1,PEX26,,,,RNF103,,,,,,COPRS,,,BCR,,,,,RABIF,,,UBE2L3,,FNIP1,,,,,,CRLF3,,HNF1B,,,,,TIMM23,ENSG00000285458,POLR3K,,,PDCD6IP,H4C13,
,,PTPN2,,SFXN4,ARPC1A,,,FARSA,GHITM,SLC35F6,,RNF123,,MARCKS,,CPLANE1,C5orf49,,,,NME1,,,,,,TP53RK,,,SPIN2B,,,,,CHST6,,,ZBTB3,,TENM3,,,,,,RNPEP,,ENSG00000275740,,,,,CFAP298-TCP10L,TBCEL-TECTA,WDR90,,,MRAP,LENG9,
,,SCUBE2,,MRPL54,ATP5PO,,,SPTY2D1,PMPCA,DDAH2,,MFSD8,,SYT15B,,PDCD1LG2,DDX3X,,,,TNFSF12,,,,,,SUCLG2,,,ZNF397,,,,,DDX41,,,DRG1,,CEBPZOS,,,,,,EID2,,ARHGAP23,,,,,FSBP,ENSG00000285547,SPSB3,,,ZNF282,H2AC15,
,,SMAD2,,HMCES,C8orf58,,,SAMD4B,ENTR1,RPS29,,ABHD18,,PSMB3,,SPTAN1,ZNF407,,,,APOBEC3G,,,,,,RCAN2,,,TPCN1,,,,,CCDC125,,,ANKFY1,,ZNF579,,,,,,EID2B,,TUBGCP5,,,,,TXNIP,DERPC,TEDC2,,,GON7,H4C7,
,,ARL10,,NDUFB1,PISD,,,EDC3,TSC1,KCTD11,,MST1R,,ZNF8,,PARVA,NPEPL1,,,,WBP1,,,,,,GNB2,,,TRABD2A,,,,,KIAA2026,,,MORF4L1,,RNASEK,,,,,,GJC3,,H2AC14,,,,,SRGAP2,HERC3,TBC1D24,,,CRTAP,ENSG00000275740,
,,CLTB,,KLHL25,ARPIN,,,CALR,HPRT1,MDP1,,TEX264,,PAGR1,,FAM114A1,RPL17-C18orf32,,,,GET4,,,,,,PDZD3,,,ZDHHC17,,,,,TEKTIP1,,,WDR53,,NBPF1,,,,,,KCMF1,,H2AC16,,,,,RASSF5,DUS4L-BCAP29,AMDHD2,,,ELP5,ARHGAP23,
,,CCDC14,,TRMT12,AP5Z1,,,LDLRAD3,BORCS5,CSNK1E,,POC1A,,IQCJ-SCHIP1,,RPE,RSC1A1,,,,C1orf226,,,,,,GNG12,,,ZNF395,,,,,CCDC159,,,DMWD,,UMAD1,,,,,,CLEC14A,,TYW1B,,,,,GDF10,C8orf44-SGK3,BICDL2,,,CDK1,H4C9,
,,TBC1D10C,,TRIM52,EIF4EBP3,,,RAD23A,ZMYND19,IRF9,,PPM1M,,ZNF511-PRAP1,,PHF2,FNIP1,,,,PPIL3,,,,,,TTC36,,,RPS19BP1,,,,,NPIPA1,,,IKZF1,,FANCG,,,,,,SYNE3,,MARCKS,,,,,AARSD1,PRRC2B,ZNF75A,,,UBB,PIK3R6,
,,SART1,,MACC1,STON1,,,RTL3,STOX1,ITGA1,,SAP30,,ENSG00000283782,,PSAP,CEBPZOS,,,,TNFRSF13B,,,,,,GTPBP2,,,PLCD1,,,,,SF3A3,,,PCYT2,,ZBED8,,,,,,CLK2,,SYT15B,,,,,ENSG00000267179,CTAGE4,CLPB,,,NFRKB,ENSG00000276345,
,,LRRC25,,TBL3,PRAF2,,,EGR3,RET,TAX1BP3,,SCRG1,,ENSG00000284292,,S100A10,ZNF579,,,,ARHGEF25,,,,,,TCEAL1,,,MITF,,,,,GPR132,,,BCAP31,,PPP2R2A,,,,,,ZNF575,,PSMB3,,,,,ENSG00000267561,ENSG00000289694,CYB561A3,,,PRDM10,H2AC14,
,,KCNE3,,TRAIP,NAA80,,,GEMIN4,BMS1,TTLL3,,HAND2,,TBCE,,RPL37A,UMAD1,,,,PEDS1,,,,,,ZNF24,,,NAP1L1,,,,,MX2,,,GNB1L,,TIGD1,,,,,,WDR25,,ZNF8,,,,,FDX2,ENSG00000291316,PPP1R32,,,SMAD1,H2AC16,
,,ALG10B,,ZNF703,DNAAF10,,,MKRN3,STK32C,REPIN1,,GUCY1A1,,LRTOMT,,ZNF81,C6orf226,,,,MIF,,,,,,AGXT,,,CMC1,,,,,EP400,,,KLHDC8B,,APOL6,,,,,,PHLDB3,,H2AC4,,,,,ZNF224,,ASRGL1,,,SLC30A1,H4C5,
,,LONRF3,,NPIPA5,NME2,,,SHARPIN,JCAD,MRPL23,,FBXO8,,UPK3BL2,,TAF13,FANCG,,,,ATP5MF,,,,,,BANP,,,RNF220,,,,,PSMG1,,,ZNF267,,UBA52,,,,,,LMNB2,,H2AC17,,,,,LIN37,,UBXN1,,,KRT8,H2AC8,
,,UCP2,,OLFML1,CFAP57,,,ZFPM1,FUNDC2,SMIM7,,CEP44,,ENSG00000285130,,FAM118B,ZBED8,,,,ATP5PO,,,,,,PPP1CA,,,H1-7,,,,,ACSM5,,,IRS2,,C21orf140,,,,,,RMDN1,,PAGR1,,,,,ENSG00000268870,,LBHD1,,,KRT75,TYW1B,
,,C11orf68,,NUDT14,NPIPB5,,,PLD6,PIP4P1,FBXO16,,HPGD,,ABCF2-H2BK1,,SLC9A8,PPP2R2A,,,,C8orf58,,,,,,RAD9A,,,SESTD1,,,,,PCBP3,,,BICD2,,VPS52,,,,,,MEX3C,,ENSG00000283149,,,,,IKBKG,,TTC9C,,,CD14,H4C4,
,,PAAF1,,NPIPA9,APOBEC3D,,,CDC42EP4,METTL17,ARL16,,NAA15,,ENSG00000285304,,OCLN,TIGD1,,,,PISD,,,,,,WASHC2C,,,FNBP1,,,,,SETD3,,,RASA3,,CERS1,,,,,,RUFY1,,IQCJ-SCHIP1,,,,,SPIB,,NXF1,,,DNAJC18,PSMB3,
,,MRPL48,,TTC32,ZNF512,,,ZBTB42,SLC39A2,LYRM4,,IL15,,ENSG00000285330,,H4C16,SLC12A8,,,,HOGA1,,,,,,ZMAT3,,,BCAM,,,,,TANGO2,,,LRCH3,,MKRN2OS,,,,,,BASP1,,ZNF511-PRAP1,,,,,BIVM-ERCC5,,STX5,,,MZB1,CISD3,
,,RAB6A,,COA3,GSTA1,,,LACC1,NDRG2,MYCBP,,ICE1,,ENSG00000285458,,ZNF181,CCNL2,,,,PI4KA,,,,,,SLFN11,,,RSBN1L,,,,,FAM167B,,,NDUFA13,,MCRIP1,,,,,,WSB2,,ENSG00000283782,,,,,NBPF8,,RPL29,,,KRT4,ZNF8,
,,CCDC85B,,DENND5A,P2RY11,,,PCED1B,ZNF219,SH3D21,,ANAPC10,,TBCEL-TECTA,,INKA2,UBA52,,,,ARPIN,,,,,,CORO1B,,,CIDEC,,,,,MRPL54,,,ZNF529,,SLC26A6,,,,,,GCNT4,,ENSG00000284292,,,,,RPS10-NUDT3,,RPS6KA4,,,NPAS2,GGNBP2,
,,RPS6KB2,,DIABLO,ETV5,,,FOXS1,CCDC186,FIS1,,ABCE1,,ENSG00000285547,,ZNF44,ZNF630,,,,MRPL33,,,,,,FUT10,,,MAGI2,,,,,HMCES,,,AIDA,,NOL7,,,,,,FAM89B,,TBCE,,,,,DCP1A,,LRP5,,,LONRF2,H2AC4,
,,RMI2,,EIF3C,SCARF2,,,SERTAD2,ZFYVE1,NEURL1B,,OTUD4,,DERPC,,GPAA1,USP17L2,,,,MICAL3,,,,,,MUS81,,,CHP1,,,,,TRMT12,,,CYP2R1,,SCAMP4,,,,,,DPP7,,LRTOMT,,,,,ZBTB8B,,FGF19,,,NUDT9,MRM1,
,,TOM1L2,,CLDN5,PTCHD4,,,AKAP5,HSPA12A,HAUS3,,MOCS2,,DUS4L-BCAP29,,CYRIA,HLA-DPB1,,,,PRAF2,,,,,,TMCC1,,,PTMA,,,,,CMTM4,,,POLR3C,,FAM174C,,,,,,SEC24C,,ENSG00000285130,,,,,CYFIP1,,PDZK1IP1,,,PFKFB3,H2AC17,
,,KDF1,,LRRC51,N4BP2L2,,,R3HDM2,FRAT1,STARD10,,EDIL3,,PRRC2B,,MYO1C,NPIPA3,,,,NAA80,,,,,,NAA16,,,HSPA14,,,,,TBK1,,,CENATAC,,ARL17B,,,,,,DEAF1,,ENSG00000285330,,,,,NOL12,,CMPK1,,,TMC7,H4C2,
,,B3GNTL1,,NR2C2AP,H2AJ,,,PUF60,ARHGAP42,ZSWIM8,,NDUFAF2,,CTAGE4,,NKIRAS1,MCRIP1,,,,IL10RB,,,,,,PSME3IP1,,,IFT140,,,,,MACC1,,,BCL9L,,DHFR,,,,,,WDR73,,ENSG00000285458,,,,,SOCS7,,COA7,,,SMAGP,PAGR1,
,,AURKAIP1,,SCFD2,PGAM5,,,SSC5D,ISCA2,IFRD2,,LMBRD2,,ENSG00000289694,,KIF13B,CROCC2,,,,DNAAF10,,,,,,ZNG1A,,,MAGEH1,,,,,ZNF703,,,KIF18B,,ACBD6,,,,,,PHETA2,,TBCEL-TECTA,,,,,TBC1D3,,PARS2,,,STAT2,ENSG00000283149,
,,TTLL11,,UBE2F,MARS2,,,TSHZ1,PACSIN3,HNRNPUL2,,NIPBL,,,,ADH5,HSBP1L1,,,,NME2,,,,,,DCP2,,,EXD3,,,,,NPIPA5,,,ZNRF1,,RPS18,,,,,,SCN4B,,ENSG00000285547,,,,,MLLT6,,PLPP3,,,NUDCD2,IQCJ-SCHIP1,
,,TOMM5,,SNRNP35,CDK11B,,,PSTK,PSMC3,NPIPA8,,RNF180,,,,FCHSD1,SCAMP4,,,,CFAP57,,,,,,RPL38,,,TCEA1,,,,,RBM12B,,,EDARADD,,TMEM253,,,,,,ANO6,,DERPC,,,,,PPP4R3B,,PRKAA2,,,HSPA4,EXOC3L2,
,,ZNF169,,IRAK1,PCP4L1,,,PTGR3,AGBL2,NPIPA7,,STARD4,,,,S100A6,FAM174C,,,,NPIPB5,,,,,,CYP7B1,,,SECISBP2,,,,,CCR4,,,SOWAHB,,PET117,,,,,,ZBTB34,,DUS4L-BCAP29,,,,,SYNRG,,KLHL21,,,FOXA3,ENSG00000283782,
,,RUVBL1,,ACOT1,ABHD14A,,,TDRP,TC2N,PHB2,,PRRC1,,,,NOL8,DHFR,,,,JMJD7,,,,,,CES3,,,MCRS1,,,,,NUDT14,,,MRTFB,,RPS28,,,,,,RPS6KA3,,PRRC2B,,,,,ENSG00000275740,,GMEB1,,,ARMC10,LRTOMT,
,,MSRA,,H2AC20,FMN1,,,FGD6,CPSF2,PEX26,,F2RL1,,,,IRAK4,RPL41,,,,APOBEC3D,,,,,,SSH3,,,CARD9,,,,,TOB2,,,TOR3A,,TRIM26,,,,,,PUS1,,H2AC18,,,,,ARHGAP23,,SELENON,,,TRABD,ENSG00000284969,
